subject activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAcc-meanFreq()-X fBodyAcc-meanFreq()-Y fBodyAcc-meanFreq()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyAccJerk-meanFreq()-X fBodyAccJerk-meanFreq()-Y fBodyAccJerk-meanFreq()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyGyro-meanFreq()-X fBodyGyro-meanFreq()-Y fBodyGyro-meanFreq()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyAccMag-meanFreq() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyAccJerkMag-meanFreq() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroMag-meanFreq() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std() fBodyBodyGyroJerkMag-meanFreq()
1 WALKING 0.279128638842105 -0.0163302322431579 -0.112078657536842 -0.2779989048 0.111092877076842 -0.262567425052632 0.935052376947368 -0.281828687263158 -0.0675355984315789 -0.975855912947368 -0.970740937684211 -0.947430992631579 0.0753723987894737 0.0276455197884211 -0.00472323471473684 -0.112931765172632 0.0634087039263158 -0.502861710210526 -0.0393238230312632 -0.0714627515063158 0.0849373436831579 -0.479763870421053 -0.05806082687 -0.339990660526316 -0.0893655332336842 -0.0338371412410526 -0.0424732991652632 -0.212587361389474 -0.305389738105263 -0.40307103231579 -0.134723367714737 -0.215867571242105 -0.134723367714737 -0.215867571242105 -0.142040454084211 -0.0752039941677895 -0.165303129684211 -0.192410852736842 -0.300106015715789 -0.326702538052632 -0.199545092115789 0.087601682928421 -0.333268859052632 -0.312440982168421 0.0523037322249474 -0.282441215284211 -0.210624921231579 0.114550514843158 0.0535497741962105 -0.169613281075895 -0.0364622003235895 -0.469492230105263 -0.133230818852632 0.100856053251789 -0.53443082 -0.211512929387368 -0.382170775631579 -0.188191967338947 -0.344453420694737 -0.104911989276842 -0.252639359894737 -0.523221610947368 -0.0378734263147368 -0.432303010105263 0.0232881461463158 -0.0627403250852632 0.0010469325011579 -0.125976106966316 -0.394126270947368 0.187480748168421 -0.0568232857185263 -0.105574928791579 0.0949772745343158 -0.202423903302105 -0.327308243789474 0.276955939368421 -0.320151782621053 -0.383566059684211 0.189287711676842
2 WALKING 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.14579548970339 0.198586466508475 0.0688995208186441 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.0727101584479661 -0.263574018186441 -0.254846438755932 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746 0.00727967988474576 -0.0427009322372881 0.139752115269492 -0.324289427932203 -0.577105211694915 0.393206208305085 -0.169064352813559 -0.164091969449153 0.20750092670339 -0.530704814745763 -0.651792839661017 0.305283825254237 -0.583249293389831 -0.558104554745763 0.126344614439492
3 WALKING 0.274789174655172 -0.0162519039065517 -0.111564801206897 -0.351246017068966 -0.0705620204689655 -0.387718331206897 0.936308872586207 -0.260143769827586 -0.13711581937931 -0.977572318448276 -0.962320207413793 -0.953897369137931 0.0698546755936207 0.0124842077068966 0.008282011 -0.260173539396552 -0.0444550382655172 -0.529658737586207 -0.0378502837862069 -0.0676052472413793 0.089986124937931 -0.574255436724138 -0.561239867413793 -0.477030380344828 -0.0938200309327586 -0.0393271164827586 -0.0484045529298276 -0.38376544137931 -0.63869913637931 -0.533847584482759 -0.250088576206897 -0.318463128758621 -0.250088576206897 -0.318463128758621 -0.275998183793103 -0.134480830843103 -0.466336451724138 -0.561334271206896 -0.563743303103448 -0.56863274 -0.309777440810345 -0.0835137893689655 -0.413802317586207 -0.369313667586207 -0.123778500622414 -0.422669454137931 -0.244683365239655 0.169101851241379 0.067834336392931 -0.296083080655172 -0.142168948534483 -0.514514669137931 -0.289039577931034 -0.00290415145017241 -0.543459251551724 -0.212812055396552 -0.266722794224138 -0.347869378275862 -0.440154231551724 -0.560813942413793 -0.417996538275862 -0.617556565172414 -0.565150839310345 -0.546406124137931 0.0420920301982759 -0.0419072033293103 -0.0463344642637931 -0.281176206758621 -0.447393973275862 0.113163640767241 -0.181525281827586 -0.0844160890251724 -0.117160795448276 -0.568628028448276 -0.63328635 0.182794702741379 -0.608262888965517 -0.551466460517241 0.0510822664137931
4 WALKING 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 0.963999696833333 -0.0858540265666667 0.127764112666667 -0.983826494833333 -0.967963221 -0.962968112 0.0783529082183333 0.00295602428666667 -0.000767679338333334 -0.297042612533333 -0.221165131581667 -0.7513913825 -0.0317982557795 -0.0726905278583333 0.0805677161216667 -0.500916659 -0.665394092833333 -0.662608226 -0.115321556475 -0.0393474489133333 -0.0551166852766667 -0.492341066833333 -0.807419937 -0.640454132833333 -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.426719449666667 -0.14939963344 -0.631005470833333 -0.447234929666667 -0.101799450565167 -0.594198325666667 -0.13859163673 0.0123477342916667 -0.0787892636928333 -0.358883413666667 -0.279553391533333 -0.728991595666667 -0.29732607245 -0.2099000063 -0.772359087333333 -0.1352803947515 -0.385880862833333 -0.325737503675 -0.373384540666667 -0.688460056666667 -0.601381129166667 -0.542646759 -0.654657770166667 -0.716458475166667 -0.12715408578 -0.27466563765 0.149851534733333 -0.450804558333333 -0.651172628166667 0.382096409966667 -0.318587811 -0.320458701 0.111486484954333 -0.609285588016667 -0.593937200833333 0.0697301245295 -0.724327420666667 -0.757768081166667 0.26535537398
5 WALKING 0.279795557678571 -0.0139642752125536 -0.107416528267857 -0.275926938339286 0.0732997011089286 -0.44915407125 0.971458589464286 -0.0992916683392857 0.003418155425 -0.978957079821429 -0.96112431375 -0.963961878571429 0.0905826074285714 -0.0131045866678571 0.00362117889410714 -0.286759433678571 -0.0865700832 -0.602190787142857 -0.0488936517703571 -0.0674245196071429 0.0806615274107143 -0.497236026964286 -0.497156741428571 -0.315087573553571 -0.0867693106517857 -0.0489699795089286 -0.0436407601428571 -0.357320859714286 -0.562714177142857 -0.150985933626786 -0.147327628269643 -0.3570316575 -0.147327628269643 -0.3570316575 -0.276550421303571 -0.268619232196429 -0.35741062625 -0.493321036428571 -0.438104827857143 -0.483869876964286 -0.273080192946429 0.00909212944464286 -0.480601352857143 -0.278123339303571 0.0378984684589286 -0.476838209642857 -0.3194831113 0.00495321099107143 0.0343083296017857 -0.329511820803571 -0.177208855009643 -0.580351470535714 -0.306043179910714 -0.0495558350696429 -0.62222529375 -0.350410296607143 -0.53346242875 -0.340288632178571 -0.378421325178571 -0.505718039107143 -0.20658204475 -0.536016913214286 -0.495740793571429 -0.418339034464286 -0.0348389989964286 -0.00959004796964286 0.173773006358929 -0.287898371392857 -0.501098448339286 0.152976547010714 -0.253664345116071 -0.294824499178571 0.00368095629642857 -0.481296605892857 -0.593750119107143 0.264037069055357 -0.541536182857143 -0.45204693125 0.0506851866803571
6 WALKING 0.282853845087719 -0.0169009035573684 -0.109810461140351 -0.271082129122807 0.163790481775263 -0.499732106157895 0.957042309298246 -0.213497960350877 0.0319473558070175 -0.976767146491228 -0.964292054912281 -0.958424681052632 0.0782471990947368 -0.0107505091403509 0.000208070571929825 -0.11868525374386 0.0139137703649123 -0.57110637754386 -0.0446739305052632 -0.0668595460087719 0.0830988811561404 -0.447533965964912 -0.324654778245614 -0.373485099824561 -0.0802007143614035 -0.0419045187631579 -0.0505558063157895 -0.178259496368421 -0.407646494385965 -0.149924668163158 -0.150931479596491 -0.24197711877193 -0.150931479596491 -0.24197711877193 -0.185982217877193 -0.0574865888421053 -0.280251136035088 -0.359566161859649 -0.312483425421053 -0.355522334596491 -0.170051117175439 0.140525673026316 -0.494188282859649 -0.316832533508772 0.101235731975965 -0.546113054561403 -0.203076010859649 0.0223334363859649 0.185774782452632 -0.138182625438596 -0.0698544626877193 -0.536494835789474 -0.178392858863158 0.0371917120894737 -0.604222249824561 -0.180042275121053 -0.457559543157895 -0.10304034935807 -0.239036450217544 -0.333049594736842 -0.190697820610526 -0.517543659298246 -0.325894048947368 -0.504788486491228 0.095244048602807 0.0430175867649123 0.312351288350877 -0.176662421684211 -0.400771143508772 0.194190447184211 -0.0401528768701754 -0.086550798754386 -0.00624618391052632 -0.321577449684211 -0.507496601929825 0.296606585421053 -0.357049436052632 -0.399852578114035 0.0988719360763158
7 WALKING 0.278997099649123 -0.0182755588649123 -0.108899272807018 -0.310757592105263 -0.0728979634912281 0.149402924892982 0.931711114736842 -0.158985803859649 -0.160850626924544 -0.979430358421053 -0.970235780175439 -0.95270130245614 0.0944170249894737 0.0104823097491228 -0.0278675451473684 -0.332450538140351 -0.0557755907894737 -0.151063667029474 -0.0073142979322807 -0.0803497103087719 0.0688641679754386 -0.501396026491228 -0.22903326422807 -0.392059880877193 -0.112486790102211 -0.0463382864131579 -0.0509213102242105 -0.214798826126316 -0.171607633896491 -0.454631057719298 -0.0910328179789474 -0.18074623277193 -0.0910328179789474 -0.18074623277193 -0.187427664122807 -0.0191177650315789 -0.303923829649123 -0.198764237307018 -0.298563317333333 -0.0936699966333333 -0.327308100701754 -0.0627504065894737 0.033006716532807 -0.305246893684211 -0.13809813277193 0.121399689931404 -0.316654904122807 0.155857479052632 0.13456753962807 -0.369934404385965 -0.123803945980175 -0.108068593769825 -0.353462465508772 -0.0446606841508772 -0.192339263592982 -0.27984611645614 -0.287279851263158 -0.227474446878947 -0.318512850105263 -0.149717939191228 -0.362528003684211 -0.561052351052632 -0.288928573929825 -0.459744670350877 0.114406829282456 0.268554761725789 0.0107254188280702 -0.135171106438596 -0.335769959824561 0.17129115095614 -0.0297445706266667 -0.0141173600877193 -0.00952876550877193 -0.191609335643333 -0.34595082722807 0.307177277736842 -0.153323383231053 -0.0831238503912281 -0.00412000191754386
8 WALKING 0.279896808125 -0.0194656877352083 -0.105048990229167 -0.162720185314583 0.375762143541667 -0.133849827270833 0.912860072083333 -0.215630811458333 -0.182988517087021 -0.974642117291667 -0.95900321125 -0.95545288 0.0579261805416667 -0.0293493624375 0.0178845138314583 -0.238588179291667 0.239468841541667 -0.3725334226875 0.00126141920041667 -0.0864615938683333 0.0681981876020833 -0.209565646354167 -0.199274476545833 -0.0770332900729167 -0.120387626922917 -0.0452577206166667 -0.064768935075 -0.247356017729167 -0.41215719575 -0.378170344583333 0.0575378335604167 -0.168451998454167 0.0575378335604167 -0.168451998454167 -0.0530751434391667 -0.169727989625 -0.00601175423041667 -0.236724216541667 -0.328920905208333 -0.488637734041667 -0.233382109770833 0.318199648541667 -0.2267859886875 -0.138661147108333 0.3166974930625 -0.153052378991667 -0.3784774668125 0.014862998075 0.111537171395833 -0.29336758025 0.0900583896166667 -0.3494261992875 -0.250748255583333 0.315733290645833 -0.395295909020833 -0.34912882 -0.407288114041667 -0.246017353379167 -0.109195063329167 -0.241315678416667 -0.126931632104167 -0.245526230895833 -0.18185487815625 -0.147146092583333 -0.172479467104167 -0.0902269656854167 -0.207991943897917 -0.08084119086875 -0.352363752916667 0.2029208999375 -0.1081805284125 -0.263015769395833 0.170501240464583 -0.291977428270833 -0.331750154770833 0.106700660045208 -0.45757444406875 -0.56968094625 0.292706480395833
9 WALKING 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 0.951867079615385 -0.0314341738730769 -0.115856121080385 -0.980971973653846 -0.971242423076923 -0.955523995576923 0.0704357270480769 0.0212255910017308 0.00414762740192308 -0.206733787961538 -0.276929933846154 -0.409764526153846 -0.0808360598653846 -0.0625598710615385 0.111629779896154 -0.476163506730769 -0.467054167884615 -0.265683521346154 -0.0809204094461538 -0.0356283427038462 -0.0633406620592308 -0.526985309038462 -0.549200228076923 -0.457881494038462 -0.0980840496143461 -0.37942877 -0.0980840496143461 -0.37942877 -0.203733615519231 -0.317113487115385 -0.294542266826923 -0.489725811538462 -0.510253995769231 -0.599866472692308 -0.294711163653846 -0.257677616153846 -0.250806259788462 -0.218019977423077 -0.223972558596154 -0.0337965256573077 -0.310727563365385 0.0213195015442308 0.0237831761442308 -0.314265401346154 -0.367706595 -0.399541245192308 -0.170228340134423 -0.228380473480769 -0.419104362884615 -0.378291493076923 -0.389047303846154 -0.366570477826923 -0.383676120961538 -0.436905860576923 -0.240222512134615 -0.507404512692308 -0.490990336346154 -0.342367223269231 -0.200624503730769 0.0164815831107692 -0.152103721057692 -0.318801022711538 -0.513891953269231 0.161672988528846 -0.316870715576923 -0.322337536730769 0.159239938555769 -0.513797480384615 -0.562714528653846 0.127416241121154 -0.602581618269231 -0.624351923653846 0.243222181771154
10 WALKING 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472 0.963092149811321 -0.0838277013962264 0.0549276242264151 -0.974435158113208 -0.971114719811321 -0.957862728301887 0.0857943809283019 0.00408248792641509 -0.0162953195396226 -0.0521991013207547 0.0750804952113207 -0.511662905849057 0.0106894976215094 -0.0819540783760943 0.0986695731160377 -0.414205475283019 -0.250853318679245 -0.174524868603774 -0.122709563462264 -0.0519204981037736 -0.0611262928849057 -0.366063723207547 -0.509683327924528 -0.329079492641509 -0.127400912069811 -0.185602396067925 -0.127400912069811 -0.185602396067925 -0.132624992298283 0.037608338009434 -0.156458730358491 -0.402025135660377 -0.440363636603774 -0.501027916603774 -0.114190001283019 0.0533911909886792 -0.41218272245283 -0.206366497226415 -0.129775706316981 -0.435304215660377 -0.26332591785283 0.243797496811321 0.25896796635283 -0.107941107467925 0.0309052018326415 -0.464020508867925 -0.0791518267107547 0.0484867672264151 -0.558512650188679 -0.260130638807547 -0.148445687402075 0.0557990906603774 -0.277913780754717 -0.345209034528302 -0.108530029881132 -0.458292932830189 -0.204392821584906 -0.273292866226415 -0.0933671419018868 -0.122109929924528 -0.129800372109434 -0.0930237422792453 -0.370471943962264 0.179599864783019 0.0205189516981132 0.0502087634986792 -0.0712853941698113 -0.412616909622642 -0.499759796981132 0.129100106828302 -0.515065335849057 -0.517675799056604 -0.000234019224528301
